blitzcrank	432
brand	53
braum	63
caitlyn	201
camille	51
cassiopeia	164
chogath	69
corki	31
darius	42
diana	122
drmundo	131
draven	36
ekko	119
elise	245
evelynn	60
ezreal	28
fiddlesticks	81
fiora	9
fizz	114
galio	105
gangplank	3
garen	41
gnar	86
gragas	150
graves	79
hecarim	104
heimerdinger	120
illaoi	74
irelia	420
ivern	39
janna	427
jarvaniv	40
jax	59
jayce	24
jhin	126
jinx	202
kaisa	222
kalista	145
karma	429
karthus	43
kassadin	30
katarina	38
kayle	55
kayn	10
kennen	141
khazix	85
kindred	121
kled	203
kogmaw	240
leblanc	96
leesin	7
leona	64
lissandra	89
lucian	127
lulu	236
lux	117
malphite	99
malzahar	54
maokai	90
masteryi	57
missfortune	11
mordekaiser	21
morgana	82
nami	25
nasus	267
nautilus	75
neeko	111
nidalee	518
nocturne	76
nunu	56
olaf	20
orianna	2
ornn	61
pantheon	516
poppy	80
pyke	78
qiyana	555
quinn	246
rakan	133
rammus	497
reksai	33
renekton	421
rengar	58
riven	107
rumble	92
ryze	68
sejuani	13
senna	113
shaco	235
shen	35
shyvana	98
singed	102
sion	27
sivir	14
skarner	15
sona	72
soraka	37
swain	16
sylas	50
syndra	517
tahmkench	134
taliyah	223
talon	163
taric	91
teemo	44
thresh	17
tristana	412
trundle	18
tryndamere	48
twistedfate	23
twitch	4
udyr	29
urgot	77
varus	6
vayne	110
veigar	67
velkoz	45
vi	161
viktor	254
vladimir	112
volibear	8
warwick	106
wukong	19
xayah	62
xerath	498
xinzhao	101
yasuo	5
yorick	157
yuumi	83
zac	350
zed	154
ziggs	238
zilean	115
zoe	26
zyra	142
